manufacturer,cpuName,singleScore,multiScore,cores,threads,baseClock,turboClock,type
Intel,Core i7 6950X,1094,9918,10,20,3.0,3.5,Desktop
Intel,Core i7 1270P,1788,9773,12,16,2.2,4.8,Laptop
Intel,Core i5 11500H,1511,9693,6,12,2.4,4.6,Laptop
Intel,Core i5 11400,1358,9649,6,12,2.6,4.4,Desktop
Intel,Core i7 9700K,1293,9605,8,8,3.6,4.9,Desktop
Intel,Core i9 10885H,1305,9605,8,16,2.4,5.3,Laptop
Intel,Core i5 11400H,1737,9420,6,12,2.2,4.5,Laptop
Intel,Core i7 11700,1453,9364,8,16,2.5,4.9,Desktop
Intel,Core i7 9700KF,1261,9346,8,8,3.6,4.9,Desktop
Intel,Core i5 10600,1298,9076,6,12,3.3,4.8,Desktop
Intel,Core i5 11260H,1402,9062,6,12,2.1,4.4,Laptop
Intel,Core i7 8700K,1227,8990,6,12,3.7,4.7,Desktop
Intel,Core i7 10875H,1260,8952,8,16,2.3,5.1,Laptop
Intel,Core i9 9880H,1152,8822,8,16,2.3,4.8,Laptop
Intel,Core i7 10700,1237,8649,8,16,2.9,4.8,Desktop
Intel,Core i7 9700,1210,8631,8,8,3.0,4.7,Desktop
Intel,Core i7 9700F,1193,8631,8,8,3.0,4.7,Desktop
Intel,Core i7 1260P,1648,8615,12,16,2.1,4.7,Laptop
Intel,Core i9 9980HK,1197,8484,8,16,2.4,5.0,Laptop
Intel,Core i3 12100F,1650,8467,4,8,3.3,4.3,Desktop
Intel,Core i5 10500,1096,8272,6,12,3.1,4.5,Desktop
Intel,Core i3 12100,1693,8197,4,8,3.3,4.3,Desktop
Intel,Core i5 10600T,1134,7901,6,12,2.4,4.0,Desktop
Intel,Core i5 10400F,1119,7724,6,12,2.9,4.3,Desktop
Intel,Core i5 10400,1137,7670,6,12,2.9,4.3,Desktop
Intel,Core i5 10500T,1086,7531,6,12,2.3,3.8,Desktop
Intel,Core i7 10850H,1208,7518,6,12,2.7,5.1,Laptop
Intel,Core i7 7800X,983,7445,6,12,3.5,4.0,Desktop
Intel,Core i7 6850K,1004,7422,6,12,3.6,3.8,Desktop
Intel,Core i5 9600KF,1277,7403,6,6,3.7,4.6,Desktop
Intel,Core i7 10750H,1178,7343,6,12,2.6,5.0,Laptop
Intel,Core i7 8700,1227,7160,6,12,3.2,4.6,Desktop
Intel,Core i7 9850H,1206,7045,6,12,2.6,4.6,Laptop
Intel,Core i9 8950HK,1208,7045,6,12,2.9,4.8,Laptop
Intel,Core i7 9750H,1127,6955,6,12,2.6,4.5,Laptop
Intel,Core i5 10400T,998,6883,6,12,2.0,3.6,Desktop
Intel,Core i5 10500H,1170,6882,6,12,2.5,4.5,Laptop
Intel,Core i7 6800K,966,6854,6,12,3.4,3.6,Desktop
Intel,Core i5 8600K,1261,6814,6,6,3.6,4.3,Desktop
Intel,Core i7 11375H,1599,6766,4,8,3.0,5.0,Laptop
Intel,Core i5 9600K,1192,6708,6,6,3.7,4.6,Desktop
Intel,Core i3 10320,1312,6490,4,8,3.8,4.6,Desktop
Intel,Core i7 11390H,1612,6478,4,8,2.9,5.0,Laptop
Intel,Core i5 9400F,1130,6284,6,6,2.9,4.1,Desktop
Intel,Core i7 1165G7,1518,6109,4,8,1.2,4.7,Laptop
Intel,Core i5 9500,1142,6091,6,6,3.0,4.4,Desktop
Intel,Core i3 10300,1248,6051,4,8,3.7,4.4,Desktop
Intel,Core i7 1195G7,1535,6050,4,8,1.3,5.0,Laptop
Intel,Core i7 8750H,1071,6033,6,12,2.2,4.1,Laptop
Intel,Core i5 11320H,1473,5995,4,8,2.5,4.5,Laptop
Intel,Core i7 10710U,1270,5974,6,12,1.1,4.7,Laptop
Intel,Core i5 8400,1039,5946,6,6,2.8,4.0,Desktop
Intel,Core i7 7700K,1235,5940,4,8,4.2,4.5,Desktop
Intel,Core i7 1185G7,1473,5783,4,8,1.2,4.8,Laptop
Intel,Core i7 11370H,1535,5778,4,8,3.0,4.8,Laptop
Intel,Core i3 10105F,1172,5776,4,8,3.7,4.4,Desktop
